year	state_abbreviation	population
1974	NH	817071
1974	NJ	7335230
1974	NM	1129663
1974	NV	596747
1974	NY	18072890
1974	OH	10765749
1974	OK	2732590
1974	OR	2281008
1974	PA	11864002
1974	RI	953519
1974	SC	2843112
1974	SD	679892
1974	TN	4201789
1974	TX	12268221
1974	UT	1198852
1974	VA	4978036
1974	VT	473148
1974	WA	3547959
1974	WI	4538220
1974	WV	1814115
1974	WY	364575
1975	AK	370866
1975	AL	3680495
1975	AR	2158257
1975	AZ	2286342
1975	CA	21536811
1975	CO	2586243
1975	CT	3084745
1975	DC	710304
1975	DE	588737
1975	FL	8541584
1975	GA	5058099
1975	HI	884406
1975	IA	2881482
1975	ID	832061
1975	IL	11306443
1975	IN	5351155
1975	KS	2278947
1975	KY	3468957
1975	LA	3886835
1975	MA	5762168
1975	MD	4157172
1975	ME	1073287
1975	MI	9107933
1975	MN	3925808
1975	MO	4795560
1975	MS	2399711
1975	MT	749209
1975	NC	5535035
1975	ND	638605
1975	NE	1541653
1975	NH	830038
1975	NJ	7341399
1975	NM	1162743
1975	NV	619877
1975	NY	18032337
1975	OH	10770620
1975	OK	2771958
1975	OR	2324646
1975	PA	11897884
1975	RI	946352
1975	SC	2900130
1975	SD	681489
1975	TN	4260943
1975	TX	12568317
1975	UT	1233990
1975	VA	5056199
1975	VT	479897
1975	WA	3618928
1975	WI	4569660
1975	WV	1840660
1975	WY	380537
1976	AK	392998
1976	AL	3737038
1976	AR	2168656
1976	AZ	2347970
1976	CA	21934604
1976	CO	2632370
1976	CT	3085999
1976	DC	696305
1976	DE	592753
1976	FL	8695198
1976	GA	5125734
1976	HI	902061
1976	IA	2903776
1976	ID	857076
1976	IL	11360331
1976	IN	5371615
1976	KS	2298892
1976	KY	3530680
1976	LA	3951506
1976	MA	5748885
1976	MD	4172112
1976	ME	1089964
1976	MI	9117539
1976	MN	3956673
1976	MO	4823715
1976	MS	2430110
1976	MT	758597
1976	NC	5593340
1976	ND	645429
1976	NE	1549128
1976	NH	847025
1976	NJ	7344079
1976	NM	1195208
1976	NV	646870
1976	NY	17974781
1976	OH	10752843
1976	OK	2823332
1976	OR	2372217
1976	PA	11887569
1976	RI	950328
1976	SC	2941304
1976	SD	686917
1976	TN	4329200
1976	TX	12903392
1976	UT	1272410
1976	VA	5132519
1976	VT	485172
1976	WA	3690628
1976	WI	4584747
1976	WV	1877536
1976	WY	395493
1977	AK	397220
1977	AL	3782571
1977	AR	2207195
1977	AZ	2427296
1977	CA	22350332
1977	CO	2696179
1977	CT	3088745
1977	DC	681766
1977	DE	594815
1977	FL	8888806
1977	GA	5211306
1977	HI	915753
1977	IA	2914404
1977	ID	883539
1977	IL	11406331
1977	IN	5405151
1977	KS	2318147
1977	KY	3575221
1977	LA	4015423
1977	MA	5744117
1977	MD	4194629
1977	ME	1105357
1977	MI	9157357
1977	MN	3979937
1977	MO	4845283
1977	MS	2459607
1977	MT	771428
1977	NC	5668363
1977	ND	649294
1977	NE	1554759
1977	NH	871873
1977	NJ	7342023
1977	NM	1225310
1977	NV	678154
1977	NY	17851561
1977	OH	10771362
1977	OK	2865865
1977	OR	2439477
1977	PA	11881959
1977	RI	955133
1977	SC	2988908
1977	SD	689104
1977	TN	4401991
1977	TX	13192014
1977	UT	1316443
1977	VA	5205505
1977	VT	492180
1977	WA	3772421
1977	WI	4613339
1977	WV	1905696
1977	WY	411606
1978	AK	402051
1978	AL	3833971
1978	AR	2240956
1978	AZ	2517851
1978	CA	22839038
1978	CO	2766843
1978	CT	3094869
1978	DC	670045
1978	DE	598183
1978	FL	9131410
1978	GA	5285688
1978	HI	928804
1978	IA	2919047
1978	ID	911042
1978	IL	11434520
1978	IN	5446484
1978	KS	2333141
1978	KY	3611577
1978	LA	4073143
1978	MA	5742953
1978	MD	4211619
1978	ME	1115461
1978	MI	9202029
1978	MN	4004738
1978	MO	4871354
1978	MS	2487840
1978	MT	784108
1978	NC	5739221
1978	ND	650802
1978	NE	1561134
1978	NH	893981
1978	NJ	7356425
1978	NM	1251898
1978	NV	719391
1978	NY	17720503
1978	OH	10795544
1978	OK	2912963
1978	OR	2509658
1978	PA	11864840
1978	RI	957247
1978	SC	3041015
1978	SD	689368
1978	TN	4461690
1978	TX	13497902
1978	UT	1364279
1978	VA	5283888
1978	VT	498306
1978	WA	3886250
1978	WI	4630998
1978	WV	1920428
1978	WY	430953
1979	AK	403367
1979	AL	3869340
1979	AR	2269073
1979	AZ	2638572
1979	CA	23255178
1979	CO	2849298
1979	CT	3099931
1979	DC	655620
1979	DE	598823
1979	FL	9470482
1979	GA	5390853
1979	HI	950042
1979	IA	2916824
1979	ID	932725
1979	IL	11422890
1979	IN	5474976
1979	KS	2347705
1979	KY	3643920
1979	LA	4139128
1979	MA	5746212
1979	MD	4223366
1979	ME	1124939
1979	MI	9248893
1979	MN	4038217
1979	MO	4889416
1979	MS	2507743
1979	MT	789255
1979	NC	5801496
1979	ND	652317
1979	NE	1564670
1979	NH	911900
1979	NJ	7373065
1979	NM	1280594
1979	NV	765194
1979	NY	17633759
1979	OH	10798677
1979	OK	2970069
1979	OR	2578367
1979	PA	11873663
1979	RI	956651
1979	SC	3086840
1979	SD	689106
1979	TN	4533346
1979	TX	13887550
1979	UT	1416142
1979	VA	5324338
1979	VT	505730
1979	WA	4012909
1979	WI	4665965
1979	WV	1939112
1979	WY	451894
1980	AK	404680
1980	AL	3899671
1980	AR	2288809
1980	AZ	2735840
1980	CA	23792840
1980	CO	2909545
1980	CT	3114221
1980	DC	637161
1980	DE	594936
1980	FL	9841159
1980	GA	5484427
1980	HI	961525
1980	IA	2915562
1980	ID	948582
1980	IL	11435454
1980	IN	5492740
1980	KS	2370088
1980	KY	3665364
1980	LA	4221583
1980	MA	5748441
1980	MD	4226191
1980	ME	1127825
1980	MI	9256676
1980	MN	4086746
1980	MO	4923025
1980	MS	2524011
1980	MT	788754
1980	NC	5896178
1980	ND	654501
1980	NE	1572854
1980	NH	924802
1980	NJ	7376972
1980	NM	1309108
1980	NV	810232
1980	NY	17566376
1980	OH	10803551
1980	OK	3040067
1980	OR	2642128
1980	PA	11872347
1980	RI	949207
1980	SC	3132387
1980	SD	690713
1980	TN	4600705
1980	TX	14337755
1980	UT	1473171
1980	VA	5367648
1980	VT	512824
1980	WA	4155198
1980	WI	4713991
1980	WV	1952874
1980	WY	474381
1981	AK	418519
1981	AL	3918526
1981	AR	2293196
1981	AZ	2810110
1981	CA	24285898
1981	CO	2977917
1981	CT	3128849
1981	DC	636891
1981	DE	595974
1981	FL	10192814
1981	GA	5568420
1981	HI	978201
1981	IA	2908003
1981	ID	962244
1981	IL	11443511
1981	IN	5480482
1981	KS	2384813
1981	KY	3670396
1981	LA	4283312
1981	MA	5768702
1981	MD	4261930
1981	ME	1133039
1981	MI	9209352
1981	MN	4111752
1981	MO	4932103
1981	MS	2539038
1981	MT	795330
1981	NC	5956718
1981	ND	659494
1981	NE	1578481
1981	NH	936630
1981	NJ	7407508
1981	NM	1332768
1981	NV	847644
1981	NY	17567730
1981	OH	10788342
1981	OK	3096133
1981	OR	2667999
1981	PA	11858669
1981	RI	953015
1981	SC	3179269
1981	SD	689582
1981	TN	4627668
1981	TX	14746340
1981	UT	1515483
1981	VA	5444155
1981	VT	515588
1981	WA	4235733
1981	WI	4726315
1981	WV	1954105
1981	WY	491700
1982	AK	449608
1982	AL	3925328
1982	AR	2294297
1982	AZ	2889877
1982	CA	24820025
1982	CO	3061599
1982	CT	3139008
1982	DC	634174
1982	DE	599149
1982	FL	10471438
1982	GA	5649788
1982	HI	993775
1982	IA	2888209
1982	ID	973714
1982	IL	11423449
1982	IN	5467946
1982	KS	2401220
1982	KY	3683427
1982	LA	4352625
1982	MA	5771203
1982	MD	4282946
1982	ME	1136698
1982	MI	9115204
1982	MN	4131469
1982	MO	4929471
1982	MS	2556810
1982	MT	803966
1982	NC	6019166
1982	ND	668960
1982	NE	1581747
1982	NH	947716
1982	NJ	7431031
1982	NM	1363854
1982	NV	881550
1982	NY	17589772
1982	OH	10757118
1982	OK	3206103
1982	OR	2664930
1982	PA	11845214
1982	RI	954178
1982	SC	3207614
1982	SD	690586
1982	TN	4646050
1982	TX	15331379
1982	UT	1558322
1982	VA	5492848
1982	VT	519113
1982	WA	4276533
1982	WI	4728879
1982	WV	1949642
1982	WY	506378
1983	AK	488423
1983	AL	3934100
1983	AR	2305796
1983	AZ	2968912
1983	CA	25360028
1983	CO	3133614
1983	CT	3162366
1983	DC	632433
1983	DE	605455
1983	FL	10749908
1983	GA	5728301
1983	HI	1012718
1983	IA	2870580
1983	ID	981895
1983	IL	11408779
1983	IN	5450407
1983	KS	2415565
1983	KY	3694465
1983	LA	4395334
1983	MA	5799434
1983	MD	4313319
1983	ME	1144777
1983	MI	9047772
1983	MN	4141479
1983	MO	4943767
1983	MS	2567731
1983	MT	814009
1983	NC	6077149
1983	ND	676664
1983	NE	1584296
1983	NH	958127
1983	NJ	7467818
1983	NM	1394380
1983	NV	901987
1983	NY	17686905
1983	OH	10737664
1983	OK	3290412
1983	OR	2653095
1983	PA	11837787
1983	RI	956378
1983	SC	3234093
1983	SD	693017
1983	TN	4659799
1983	TX	15751679
1983	UT	1594953
1983	VA	5564676
1983	VT	523310
1983	WA	4300267
1983	WI	4721428
1983	WV	1945096
1983	WY	510350
1984	AK	513697
1984	AL	3951766
1984	AR	2319782
1984	AZ	3067125
1984	CA	25844380
1984	CO	3170024
1984	CT	3180017
1984	DC	633385
1984	DE	611567
1984	FL	11039982
1984	GA	5835018
1984	HI	1027923
1984	IA	2858631
1984	ID	990811
1984	IL	11412194
1984	IN	5458334
1984	KS	2424119
1984	KY	3695426
1984	LA	4400521
1984	MA	5840782
1984	MD	4365282
1984	ME	1155646
1984	MI	9049453
1984	MN	4157708
1984	MO	4975276
1984	MS	2578030
1984	MT	820868
1984	NC	6164036
1984	ND	680484
1984	NE	1588598
1984	NH	976879
1984	NJ	7515486
1984	NM	1416763
1984	NV	924917
1984	NY	17745710
1984	OH	10737767
1984	OK	3285581
1984	OR	2666598
1984	PA	11815214
1984	RI	961898
1984	SC	3271923
1984	SD	697207
1984	TN	4686803
1984	TX	16007171
1984	UT	1622339
1984	VA	5643937
1984	VT	526662
1984	WA	4343670
1984	WI	4735588
1984	WV	1927675
1984	WY	504891
1985	AK	532503
1985	AL	3972539
1985	AR	2327069
1985	AZ	3183536
1985	CA	26441100
1985	CO	3208691
1985	CT	3201120
1985	DC	634545
1985	DE	618287
1985	FL	11351091
1985	GA	5962708
1985	HI	1039689
1985	IA	2829691
1985	ID	994050
1985	IL	11399816
1985	IN	5459201
1985	KS	2427428
1985	KY	3694833
1985	LA	4408128
1985	MA	5880748
1985	MD	4413118
1985	ME	1162942
1985	MI	9076282
1985	MN	4184290
1985	MO	5000286
1985	MS	2588120
1985	MT	822326
1985	NC	6253991
1985	ND	676978
1985	NE	1584659
1985	NH	996760
1985	NJ	7565511
1985	NM	1438385
1985	NV	951040
1985	NY	17791750
1985	OH	10734943
1985	OK	3271395
1985	OR	2672681
1985	PA	11770908
1985	RI	968958
1985	SC	3303250
1985	SD	698404
1985	TN	4715288
1985	TX	16272777
1985	UT	1642906
1985	VA	5715198
1985	VT	530031
1985	WA	4400084
1985	WI	4747766
1985	WV	1906823
1985	WY	499688
1986	AK	544270
1986	AL	3991552
1986	AR	2331988
1986	AZ	3308269
1986	CA	27102241
1986	CO	3237457
1986	CT	3223744
1986	DC	638280
1986	DE	627545
1986	FL	11667511
1986	GA	6084739
1986	HI	1051767
1986	IA	2791923
1986	ID	990259
1986	IL	11387247
1986	IN	5454137
1986	KS	2432638
1986	KY	3687821
1986	LA	4406953
1986	MA	5902658
1986	MD	4487008
1986	ME	1170120
1986	MI	9127778
1986	MN	4205257
1986	MO	5023077
1986	MS	2593609
1986	MT	813770
1986	NC	6321646
1986	ND	669520
1986	NE	1574301
1986	NH	1025069
1986	NJ	7622189
1986	NM	1462762
1986	NV	980635
1986	NY	17833489
1986	OH	10730284
1986	OK	3252756
1986	OR	2683537
1986	PA	11782786
1986	RI	977341
1986	SC	3342740
1986	SD	696014
1986	TN	4738700
1986	TX	16561153
1986	UT	1662830
1986	VA	5811695
1986	VT	534065
1986	WA	4452726
1986	WI	4755646
1986	WV	1882351
1986	WY	495619
1987	AK	539324
1987	AL	4015266
1987	AR	2342405
1987	AZ	3437097
1987	CA	27777121
1987	CO	3260504
1987	CT	3247304
1987	DC	636931
1987	DE	636950
1987	FL	11997293
1987	GA	6208502
1987	HI	1067914
1987	IA	2767011
1987	ID	985010
1987	IL	11391175
1987	IN	5473040
1987	KS	2445422
1987	KY	3683341
1987	LA	4344222
1987	MA	5935207
1987	MD	4565574
1987	ME	1184588
1987	MI	9187469
1987	MN	4235173
1987	MO	5056727
1987	MS	2588571
1987	MT	805084
1987	NC	6403731
1987	ND	661140
1987	NE	1566549
1987	NH	1054291
1987	NJ	7670784
1987	NM	1478507
1987	NV	1023357
1987	NY	17868881
1987	OH	10760062
1987	OK	3210172
1987	OR	2701015
1987	PA	11810896
1987	RI	989597
1987	SC	3380520
1987	SD	696032
1987	TN	4782935
1987	TX	16621954
1987	UT	1678126
1987	VA	5932261
1987	VT	540266
1987	WA	4531896
1987	WI	4777977
1987	WV	1857590
1987	WY	476974
1988	AK	541999
1988	AL	4023902
1988	AR	2342643
1988	AZ	3535200
1988	CA	28464230
1988	CO	3262279
1988	CT	3271957
1988	DC	630427
1988	DE	647621
1988	FL	12306421
1988	GA	6316185
1988	HI	1079830
1988	IA	2768370
1988	ID	985680
1988	IL	11390222
1988	IN	5491729
1988	KS	2462057
1988	KY	3679990
1988	LA	4288939
1988	MA	5979997
1988	MD	4657894
1988	ME	1203850
1988	MI	9218025
1988	MN	4296162
1988	MO	5081731
1988	MS	2580377
1988	MT	800194
1988	NC	6480675
1988	ND	655324
1988	NE	1571465
1988	NH	1082583
1988	NJ	7712352
1988	NM	1490356
1988	NV	1075033
1988	NY	17941357
1988	OH	10798630
1988	OK	3167148
1988	OR	2741316
1988	PA	11845774
1988	RI	996406
1988	SC	3412102
1988	SD	698144
1988	TN	4822432
1988	TX	16667146
1988	UT	1689374
1988	VA	6036907
1988	VT	549758
1988	WA	4639911
1988	WI	4822365
1988	WV	1830227
1988	WY	465080
1989	AK	547170
1989	AL	4030239
1989	AR	2346375
1989	AZ	3622180
1989	CA	29218163
1989	CO	3275826
1989	CT	3283420
1989	DC	624160
1989	DE	658279
1989	FL	12637697
1989	GA	6411121
1989	HI	1094587
1989	IA	2770581
1989	ID	994396
1989	IL	11409801
1989	IN	5523668
1989	KS	2472864
1989	KY	3677287
1989	LA	4252958
1989	MA	6015492
1989	MD	4727303
1989	ME	1219968
1989	MI	9253339
1989	MN	4338036
1989	MO	5095833
1989	MS	2574306
1989	MT	799657
1989	NC	6565546
1989	ND	646359
1989	NE	1574848
1989	NH	1104519
1989	NJ	7726114
1989	NM	1503936
1989	NV	1137391
1989	NY	17983082
1989	OH	10829255
1989	OK	3150372
1989	OR	2790579
1989	PA	11866027
1989	RI	1000670
1989	SC	3456772
1989	SD	696787
1989	TN	4854463
1989	TX	16806831
1989	UT	1705886
1989	VA	6120244
1989	VT	557715
1989	WA	4746314
1989	WI	4856478
1989	WV	1806569
1989	WY	458376
1990	AK	553290
1990	AL	4050055
1990	AR	2356586
1990	AZ	3684097
1990	CA	29959515
1990	CO	3307618
1990	CT	3291967
1990	DC	605321
1990	DE	669567
1990	FL	13033307
1990	GA	6512602
1990	HI	1113491
1990	IA	2781018
1990	ID	1012384
1990	IL	11453316
1990	IN	5557798
1990	KS	2481349
1990	KY	3694048
1990	LA	4221532
1990	MA	6022639
1990	MD	4799770
1990	ME	1231719
1990	MI	9311319
1990	MN	4389857
1990	MO	5128880
1990	MS	2578897
1990	MT	800204
1990	NC	6664016
1990	ND	637685
1990	NE	1581660
1990	NH	1112384
1990	NJ	7762963
1990	NM	1521574
1990	NV	1220695
1990	NY	18020784
1990	OH	10864162
1990	OK	3148825
1990	OR	2860375
1990	PA	11903299
1990	RI	1005995
1990	SC	3501155
1990	SD	697101
1990	TN	4894492
1990	TX	17056755
1990	UT	1731223
1990	VA	6216884
1990	VT	564798
1990	WA	4903043
1990	WI	4904562
1990	WV	1792548
1990	WY	453690
1991	AK	570193
1991	AL	4099156
1991	AR	2383144
1991	AZ	3788576
1991	CA	30470736
1991	CO	3387119
1991	CT	3302895
1991	DC	600870
1991	DE	683080
1991	FL	13369798
1991	GA	6653005
1991	HI	1136754
1991	IA	2797613
1991	ID	1041316
1991	IL	11568964
1991	IN	5616388
1991	KS	2498722
1991	KY	3722328
1991	LA	4253279
1991	MA	6018470
1991	MD	4867641
1991	ME	1237081
1991	MI	9400446
1991	MN	4440859
1991	MO	5170800
1991	MS	2598733
1991	MT	809680
1991	NC	6784280
1991	ND	635753
1991	NE	1595919
1991	NH	1109929
1991	NJ	7814676
1991	NM	1555305
1991	NV	1296171
1991	NY	18122510
1991	OH	10945762
1991	OK	3175440
1991	OR	2928507
1991	PA	11982164
1991	RI	1010649
1991	SC	3570404
1991	SD	703669
1991	TN	4966587
1991	TX	17398005
1991	UT	1779780
1991	VA	6301217
1991	VT	568606
1991	WA	5025624
1991	WI	4964343
1991	WV	1798735
1991	WY	459260
1992	AK	588736
1992	AL	4154014
1992	AR	2415984
1992	AZ	3915740
1992	CA	30974659
1992	CO	3495939
1992	CT	3300712
1992	DC	597565
1992	DE	694925
1992	FL	13650553
1992	GA	6817203
1992	HI	1158613
1992	IA	2818401
1992	ID	1071685
1992	IL	11694184
1992	IN	5674547
1992	KS	2532394
1992	KY	3765469
1992	LA	4293003
1992	MA	6028709
1992	MD	4923368
1992	ME	1238508
1992	MI	9479065
1992	MN	4495572
1992	MO	5217101
1992	MS	2623734
1992	MT	825770
1992	NC	6897214
1992	ND	638223
1992	NE	1611687
1992	NH	1117784
1992	NJ	7880508
1992	NM	1595442
1992	NV	1351367
1992	NY	18246653
1992	OH	11029431
1992	OK	3220517
1992	OR	2991755
1992	PA	12049450
1992	RI	1012581
1992	SC	3620464
1992	SD	712801
1992	TN	5049742
1992	TX	17759738
1992	UT	1836799
1992	VA	6414307
1992	VT	572751
1992	WA	5160757
1992	WI	5025398
1992	WV	1806451
1992	WY	466251
1993	AK	599432
1993	AL	4214202
1993	AR	2456303
1993	AZ	4065440
1993	CA	31274928
1993	CO	3613734
1993	CT	3309175
1993	DC	595301
1993	DE	706378
1993	FL	13927185
1993	GA	6978240
1993	HI	1172838
1993	IA	2836972
1993	ID	1108768
1993	IL	11809579
1993	IN	5739019
1993	KS	2556547
1993	KY	3812206
1993	LA	4316428
1993	MA	6060569
1993	MD	4971889
1993	ME	1242302
1993	MI	9540114
1993	MN	4555954
1993	MO	5271175
1993	MS	2655100
1993	MT	844761
1993	NC	7042818
1993	ND	641216
1993	NE	1625590
1993	NH	1129458
1993	NJ	7948915
1993	NM	1636453
1993	NV	1411215
1993	NY	18374954
1993	OH	11101140
1993	OK	3252285
1993	OR	3060367
1993	PA	12119724
1993	RI	1015112
1993	SC	3663314
1993	SD	722159
1993	TN	5137584
1993	TX	18161612
1993	UT	1898404
1993	VA	6509630
1993	VT	577748
1993	WA	5278842
1993	WI	5084889
1993	WV	1817539
1993	WY	473081
1994	AK	603308
1994	AL	4260229
1994	AR	2494019
1994	AZ	4245089
1994	CA	31484435
1994	CO	3724168
1994	CT	3316121
1994	DC	589239
1994	DE	717545
1994	FL	14239444
1994	GA	7157165
1994	HI	1187536
1994	IA	2850746
1994	ID	1145140
1994	IL	11912585
1994	IN	5793526
1994	KS	2580513
1994	KY	3849088
1994	LA	4347481
1994	MA	6095241
1994	MD	5023060
1994	ME	1242662
1994	MI	9597737
1994	MN	4610355
1994	MO	5324497
1994	MS	2688992
1994	MT	861306
1994	NC	7187398
1994	ND	644804
1994	NE	1639041
1994	NH	1142560
1994	NJ	8014306
1994	NM	1682398
1994	NV	1499298
1994	NY	18459470
1994	OH	11152454
1994	OK	3280940
1994	OR	3121264
1994	PA	12166050
1994	RI	1015960
1994	SC	3705397
1994	SD	730790
1994	TN	5231438
1994	TX	18564062
1994	UT	1960446
1994	VA	6593139
1994	VT	583836
1994	WA	5375161
1994	WI	5133678
1994	WV	1820421
1994	WY	480283
1995	AK	604412
1995	AL	4296800
1995	AR	2535399
1995	AZ	4432499
1995	CA	31696582
1995	CO	3826653
1995	CT	3324144
1995	DC	580517
1995	DE	729734
1995	FL	14537875
1995	GA	7328413
1995	HI	1196854
1995	IA	2867373
1995	ID	1177322
1995	IL	12008437
1995	IN	5851459
1995	KS	2601007
1995	KY	3887427
1995	LA	4378779
1995	MA	6141445
1995	MD	5070033
1995	ME	1243480
1995	MI	9676211
1995	MN	4660180
1995	MO	5378247
1995	MS	2722659
1995	MT	876553
1995	NC	7344674
1995	ND	647832
1995	NE	1656992
1995	NH	1157561
1995	NJ	8083242
1995	NM	1720394
1995	NV	1581578
1995	NY	18524104
1995	OH	11202751
1995	OK	3308208
1995	OR	3184369
1995	PA	12198403
1995	RI	1017002
1995	SC	3748582
1995	SD	737925
1995	TN	5326936
1995	TX	18958751
1995	UT	2014177
1995	VA	6670693
1995	VT	589002
1995	WA	5481027
1995	WI	5184836
1995	WV	1823700
1995	WY	485160
1996	AK	608569
1996	AL	4331102
1996	AR	2572109
1996	AZ	4586940
1996	CA	32018834
1996	CO	3919972
1996	CT	3336685
1996	DC	572377
1996	DE	740977
1996	FL	14853360
1996	GA	7501069
1996	HI	1203755
1996	IA	2880000
1996	ID	1203083
1996	IL	12101997
1996	IN	5906013
1996	KS	2614554
1996	KY	3919535
1996	LA	4398877
1996	MA	6179756
1996	MD	5111986
1996	ME	1249060
1996	MI	9758645
1996	MN	4712827
1996	MO	5431553
1996	MS	2748085
1996	MT	886254
1996	NC	7500670
1996	ND	650382
1996	NE	1673740
1996	NH	1174719
1996	NJ	8149596
1996	NM	1752326
1996	NV	1666320
1996	NY	18588460
1996	OH	11242827
1996	OK	3340129
1996	OR	3247111
1996	PA	12220464
1996	RI	1020893
1996	SC	3796200
1996	SD	742213
1996	TN	5416643
1996	TX	19340342
1996	UT	2067976
1996	VA	6750884
