hrr	drug_group	total_use	first_use	repeat_use
1	beta_lactam	0.2861998890326952	0.18569830102114077	0.10050158801155444
1	cephalosporin	0.2931168214226284	0.19247814883135297	0.10063867259127544
1	macrolide	0.3422752157777868	0.22739821719504158	0.11487699858274524
1	nitrofurantoin	0.09985592984403623	0.049346815964125976	0.05050911387991025
1	overall	1.8618292968040968	0.6238023174850009	1.238026979319096
1	quinolone	0.4413614313897112	0.26518737395787356	0.17617405743183764
1	tetracycline	0.13803456060791924	0.08897329830042033	0.04906126230749893
1	tmpsmx	0.1856914114598618	0.11873150969134984	0.06695990176851195
2	beta_lactam	0.2779582796054135	0.18026886915388682	0.09768941045152672
2	cephalosporin	0.3083940675593019	0.19857951561254408	0.1098145519467578
2	macrolide	0.3052678310046647	0.20212336044388524	0.1031444705607795
2	nitrofurantoin	0.1272694115658989	0.04852904495072101	0.0787403666151779
2	overall	1.9212314730076168	0.6218889309301423	1.2993425420774747
2	quinolone	0.519401170638349	0.2901323515320251	0.2292688191063239
2	tetracycline	0.12323804207899546	0.07552530415006892	0.047712737928926545
2	tmpsmx	0.19149065879026678	0.1271010667937954	0.06438959199647139
5	beta_lactam	0.2844607950155866	0.19126700413005648	0.09319379088553012
5	cephalosporin	0.27439859777436965	0.17793073543507132	0.09646786233929834
5	macrolide	0.29957213011326145	0.2042557705640399	0.09531635954922156
5	nitrofurantoin	0.09877969271630821	0.04975293021054029	0.04902676250576793
5	overall	1.7138094956256429	0.6001194178515501	1.1136900777740928
5	quinolone	0.38777215021051414	0.24251592822741286	0.14525622198310129
5	tetracycline	0.13238582106095637	0.08315161165422102	0.04923420940673533
5	tmpsmx	0.16561374977440274	0.11259585775477174	0.053017892019631016
6	beta_lactam	0.2802073214382848	0.18529980287211972	0.09490751856616508
6	cephalosporin	0.3030435539959956	0.18963704886981955	0.11340650512617603
6	macrolide	0.3093916894512332	0.2151055303651062	0.09428615908612699
6	nitrofurantoin	0.09575439414253215	0.049776289142176036	0.04597810500035611
6	overall	1.8430262396383905	0.6186709351493672	1.2243553044890232
